Location,Average Lowest-Cost Bronze Premium,Average Lowest-Cost Silver Premium,Average Benchmark Premium,Average Lowest-Cost Gold Premium
United States,364.0,468.0,477.0,488.0
Alabama,408.0,563.0,564.0,637.0
Alaska,533.0,870.0,889.0,791.0
Arizona,329.0,373.0,403.0,475.0
Arkansas,374.0,424.0,424.0,509.0
California,367.0,438.0,468.0,492.0
Colorado,327.0,433.0,451.0,407.0
Connecticut,567.0,648.0,661.0,627.0
Delaware,384.0,528.0,533.0,526.0
District of Columbia,446.0,481.0,532.0,558.0
Florida,382.0,488.0,489.0,486.0
Georgia,356.0,460.0,463.0,483.0
Hawaii,360.0,457.0,468.0,480.0
Idaho,323.0,410.0,417.0,436.0
Illinois,371.0,461.0,473.0,518.0
Indiana,335.0,394.0,399.0,517.0
Iowa,329.0,442.0,451.0,428.0
Kansas,372.0,485.0,486.0,521.0
Kentucky,361.0,421.0,431.0,463.0
Louisiana,446.0,548.0,563.0,636.0
Maine,431.0,513.0,515.0,586.0
Maryland,256.0,342.0,346.0,336.0
Massachusetts,323.0,397.0,419.0,485.0
Michigan,294.0,374.0,381.0,417.0
Minnesota,283.0,337.0,343.0,394.0
Mississippi,435.0,484.0,485.0,572.0
Missouri,391.0,498.0,501.0,536.0
Montana,351.0,493.0,504.0,549.0
Nebraska,449.0,570.0,570.0,564.0
Nevada,319.0,384.0,387.0,506.0
New Hampshire,266.0,324.0,335.0,354.0
New Jersey,381.0,459.0,461.0,630.0
New Mexico,399.0,449.0,471.0,377.0
New York,562.0,719.0,736.0,911.0
North Carolina,369.0,493.0,495.0,513.0
North Dakota,318.0,463.0,486.0,453.0
Ohio,354.0,431.0,435.0,477.0
Oklahoma,398.0,505.0,508.0,512.0
Oregon,365.0,479.0,488.0,526.0
Pennsylvania,302.0,434.0,445.0,391.0
Rhode Island,281.0,380.0,400.0,395.0
South Carolina,360.0,490.0,492.0,513.0
South Dakota,464.0,590.0,616.0,640.0
Tennessee,378.0,490.0,501.0,504.0
Texas,334.0,468.0,475.0,409.0
Utah,378.0,500.0,507.0,543.0
Vermont,726.0,948.0,950.0,1018.0
Virginia,284.0,370.0,371.0,371.0
Washington,293.0,403.0,415.0,411.0
West Virginia,652.0,842.0,847.0,849.0
Wisconsin,350.0,466.0,476.0,499.0
Wyoming,585.0,820.0,821.0,703.0
