"Year","AUS: 10.6%*","CAN: 11.7%","FRA: 12.4%","GER: 12.8%","JPN: 11.1%*","KOR: 8.8%","NETH: 11.2%","NZ: 9.7%*","NOR: 10.1%","SWE: 11.4%","SWIZ: 11.8%*","UK: 11.9%","US: 17.8%"
"1980","5.8","6.6","6.8","8.1","6.2","3.4","6.5","5.7","5.4","7.7","6.4","5.1","8.2"
"1981","5.8","6.8"," ","8.4","6.3","3.6","6.6","5.7","5.4","7.8","6.5","5.3","8.5"
"1982","6.1","7.5"," ","8.2","6.5","3.5","6.8","5.8","5.6","7.9","6.6","5.1","9.2"
"1983","6.0","7.7"," ","8.2","6.5","3.4","6.8","5.7","5.8","7.8","7.0","5.3","9.3"
"1984","6.0","7.6"," ","8.3","6.4","3.2","6.6","5.4","5.5","7.6","6.7","5.2","9.3"
"1985","6.1","7.6","7.7","8.5","6.5","3.3","6.5","4.9","5.5","7.2","7.3","5.1","9.5"
"1986","6.3","7.8"," ","8.4","6.4","3.2","6.6","5.0","5.9","7.0","7.4","5.1","9.7"
"1987","6.1","7.8"," ","8.5","6.4","3.1","6.7","5.6","6.2","7.1","7.6","5.2","9.9"
"1988","6.1","7.8"," ","8.7","6.1","3.2","6.7","6.1","6.3","7.0","7.7","5.1","10.3"
"1989","6.1","8.0"," ","8.1","5.9","3.7","6.8","6.3","6.1","7.1","7.7","5.0","10.6"
"1990","6.5","8.4","8.0","8.0","5.8","3.6","7.0","6.7","7.1","7.2","7.6","5.1","11.2"
"1991","6.8","9.1","8.2"," ","5.8","3.5","7.2","7.1","7.4","7.1","8.2","5.5","11.9"
"1992","6.8","9.3","8.4","9.0","6.0","3.6","7.4","7.2","7.5","7.4","8.6","5.9","12.2"
"1993","6.8","9.2","8.9","9.0","6.3","3.5","7.5","6.9","7.4","7.7","8.7","6.0","12.5"
"1994","6.9","8.9","8.8","9.2","6.5","3.4","7.4","6.9","7.3","7.3","8.8","6.1","12.4"
"1995","6.9","8.6","9.9","9.5","6.2","3.4","7.3","6.9","7.3","7.2","8.6","5.6","12.5"
"1996","7.1","8.4","9.9","9.8","6.0","3.6","7.2","6.9","7.2","7.4","9.0","5.5","13.9"
"1997","7.1","8.3","9.8","9.7","6.3","3.5","7.0","7.1","7.7","7.2","9.0","6.8","12.4"
"1998","7.2","8.5","9.7","9.7","6.5","3.7","7.8","7.5","8.4","7.3","9.1","7.0","12.4"
"1999","7.3","8.3","9.7","9.8","6.9","3.8","7.8","7.4","8.4","7.3","9.2","7.2","12.3"
"2000","7.6","8.2","9.6","9.9","7.0","3.9","7.7","7.5","7.7","7.3","9.1","7.2","12.5"
"2001","7.7","8.6","9.7","9.9","7.2","4.4","8.1","7.6","8.0","7.9","9.4","7.4","13.2"
"2002","7.9","8.9","10.0","10.2","7.4","4.2","8.6","7.9","9.0","8.2","9.9","7.7","14.0"
"2003","7.9","9.0","10.1","10.4","7.5","4.4","9.1","7.7","9.2","8.3","10.1","8.1","14.5"
"2004","8.1","9.1","10.2","10.1","7.5","4.4","9.1","7.9","8.8","8.1","10.2","8.3","14.5"
"2005","8.0","9.0","10.2","10.3","7.7","4.6","9.1","8.3","8.3","8.2","10.0","8.4","14.6"
"2006","8.0","9.3","10.4","10.2","7.7","4.9","9.1","8.6","7.9","8.1","9.5","8.6","14.7"
"2007","8.1","9.4","10.3","10.1","7.8","5.1","9.1","8.3","8.1","8.0","9.4","8.6","14.9"
"2008","8.3","9.6","10.5","10.3","8.1","5.4","9.3","9.1","8.0","8.2","9.5","9.0","15.2"
"2009","8.6","10.7","11.3","11.2","9.0","5.8","10.0","9.6","9.1","8.8","10.1","10.0","16.2"
"2010","8.4","10.7","11.2","11.1","9.1","5.9","10.2","9.6","8.9","8.3","9.9","10.0","16.2"
"2011","8.5","10.4","11.2","10.8","10.5","6.0","10.2","9.5","8.8","10.4","10.0","9.9","16.1"
"2012","8.7","10.5","11.3","10.9","10.7","6.1","10.5","9.7","8.8","10.7","10.2","9.9","16.1"
"2013","8.8","10.4","11.4","11.0","10.7","6.2","10.6","9.4","8.9","10.9","10.5","9.8","16.0"
"2014","9.8","10.3","11.5","11.0","10.7","6.5","10.6","9.4","9.3","10.9","10.6","9.8","16.2"
"2015","10.2","10.7","11.4","11.2","10.8","6.7","10.3","9.3","10.1","10.8","11.0","9.8","16.5"
"2016","10.1","11.0","11.5","11.2","10.7","6.9","10.3","9.2","10.6","10.9","11.3","9.7","16.8"
"2017","10.1","10.9","11.4","11.3","10.7","7.1","10.1","9.0","10.3","10.8","11.5","9.6","16.8"
"2018","10.1","10.8","11.2","11.5","10.7","7.5","10.0","9.0","10.0","10.9","11.2","9.7","16.6"
"2019","10.2","11.0","11.1","11.7","11.0","8.1","10.1","9.0","10.5","10.8","11.3","9.9","16.7"
"2020","10.6","12.9","12.2","12.8","11.1","8.4","11.1","9.7","11.4","11.5","11.8","12.0","18.8"
"2021"," ","11.7","12.4","12.8"," ","8.8","11.2"," ","10.1","11.4"," ","11.9","17.8"
